Date,Decile 1,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,High 10,
10/1/1943," 6,378 "," 29,554 "," 39,800 "," 56,451 "," 39,800 "," 59,245 "," 7,743 "," 277,535 "," 23,823 "," 1,880 "
11/1/1943, 86 , 177 , 254 , 151 , 173 , 179 , 193 , 79 , 66 , 39 
12/1/1943, 209 , 177 , 228 , 208 , 130 , 162 , 94 , 60 , 66 , 55 
1/1/1944, 660 ," 1,033 ", 778 , 715 , 567 ," 1,130 ", 394 , 283 , 704 , 184 
2/1/1944," 7,391 "," 12,186 "," 13,637 "," 3,249 "," 3,603 "," 8,509 "," 9,710 "," 8,061 "," 1,440 "," 1,553 "
3/1/1944, 778 ," 1,577 "," 1,199 "," 1,339 "," 1,002 ", 588 , 954 , 588 , 168 , 248 
4/1/1944, 363 , 770 ," 1,335 "," 1,430 "," 1,029 "," 1,784 "," 1,966 "," 1,475 "," 1,035 "," 1,452 "
5/1/1944, 552 , 301 , 289 , 263 , 349 , 182 , 222 , 199 , 163 , 180 
6/1/1944, 26 , 43 , 132 , 121 , 118 , 130 , 240 , 189 , 139 , 332 
7/1/1944, 625 ," 10,514 "," 2,331 "," 13,405 "," 16,308 "," 10,525 "," 7,475 "," 19,151 "," 4,753 "," 2,718 "
8/1/1944," 25,354 "," 8,666 "," 3,249 "," 1,430 "," 3,872 "," 2,525 ", 859 , 449 , 342 , 197 
9/1/1944," 34,479 "," 45,057 "," 7,920 "," 1,563,750 "," 23,515 "," 25,005,000 "," 24,570 "," 509,490 "," 65,490 "," 8,325 "
10/1/1944," 2,779,445 "," 97,344 "," 38,643 "," 345,433 "," 16,150 "," 3,177 "," 31,709 "," 2,776,111 "," 18,628 "," 9,329 "
11/1/1944," 4,069 "," 2,020 "," 2,251 "," 5,401 "," 1,518 "," 1,339 "," 2,131 "," 1,419 "," 1,339 ", 864 
12/1/1944, 322 , 542 , 238 , 383 , 277 , 185 , 180 , 181 , 98 , 166 
1/1/1945, 530 , 762 , 670 , 726 , 966 , 813 ," 1,207 ", 631 , 271 , 159 
2/1/1945, 149 , 258 , 251 , 222 , 147 , 135 , 168 , 102 , 128 , 86 
3/1/1945, 677 , 888 , 463 , 419 , 235 , 331 , 307 , 299 , 145 , 110 
4/1/1945, 211 , 228 , 199 , 211 , 116 , 134 , 121 , 132 , 93 , 70 
5/1/1945, 572 ," 1,293 "," 2,150 ", 895 ," 10,731 "," 1,529 "," 1,293 "," 1,349 ", 484 ," 1,080 "
6/1/1945," 1,778 "," 4,394 "," 2,002 "," 6,279 "," 1,232 "," 4,282 ", 895 , 359 , 234 , 147 
